State,Year,Month,Week,AverageTemperature
Alabama,2016,1.0,53.0,44.565887451171875
Alabama,2016,1.0,1.0,45.227760314941406
Alabama,2016,1.0,2.0,43.4753303527832
Alabama,2016,1.0,3.0,39.24388885498047
Alabama,2016,1.0,4.0,48.0059814453125
Alabama,2016,2.0,5.0,51.41553497314453
Alabama,2016,2.0,6.0,41.59090042114258
Alabama,2016,2.0,7.0,52.270652770996094
Alabama,2016,2.0,8.0,51.5689582824707
Alabama,2016,3.0,9.0,52.41495895385742
Alabama,2016,3.0,10.0,63.452430725097656
Alabama,2016,3.0,11.0,63.29411697387695
Alabama,2016,3.0,12.0,56.70292282104492
Alabama,2016,4.0,13.0,61.249176025390625
Alabama,2016,4.0,14.0,58.48369598388672
Alabama,2016,4.0,15.0,61.3303108215332
Alabama,2016,4.0,16.0,65.09334564208984
Alabama,2016,5.0,17.0,71.20982360839844
Alabama,2016,5.0,18.0,65.26319885253906
Alabama,2016,5.0,19.0,71.09577941894531
Alabama,2016,5.0,20.0,70.02433776855469
Alabama,2016,5.0,21.0,75.03471374511719
Alabama,2016,6.0,22.0,79.124755859375
Alabama,2016,6.0,23.0,78.57774353027344
Alabama,2016,6.0,24.0,80.3598403930664
Alabama,2016,6.0,25.0,82.06629180908203
Alabama,2016,7.0,26.0,82.07073974609375
Alabama,2016,7.0,27.0,83.64480590820312
Alabama,2016,7.0,28.0,80.89537048339844
Alabama,2016,7.0,29.0,83.58086395263672
Alabama,2016,7.0,30.0,82.04849243164062
Alabama,2016,8.0,31.0,82.81539154052734
Alabama,2016,8.0,32.0,79.68110656738281
Alabama,2016,8.0,33.0,80.64141845703125
Alabama,2016,8.0,34.0,81.2470932006836
Alabama,2016,9.0,35.0,81.62299346923828
Alabama,2016,9.0,36.0,80.66184997558594
Alabama,2016,9.0,37.0,79.59425354003906
Alabama,2016,9.0,38.0,80.37505340576172
Alabama,2016,10.0,39.0,73.59451293945312
Alabama,2016,10.0,40.0,74.85343933105469
Alabama,2016,10.0,41.0,70.54827880859375
Alabama,2016,10.0,42.0,70.32904815673828
Alabama,2016,10.0,43.0,69.57219696044922
